"","Country","Count"
"1","Austria",1
"2","Belgium",2
"3","Denmark",2
"4","France",29
"5","Germany",9
"6","Hong Kong",7
"7","Italy",11
"8","Japan",17
"9","Macau",3
"10","Netherlands",2
"11","Norway",1
"12","Singapore",3
"13","South Korea",2
"14","Spain",11
"15","Sweden",1
"16","Switzerland",3
"17","United Kingdom",8
"18","United States",13
