,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,Explanation,Min_Price($),Max_Price($)
6168,Zest,"32 cours de la Vilaine, Cesson-Sévigné, 35510, France",Cesson-Sévigné,22.0,54.0,EUR,Modern Cuisine,-1.6072798,48.1155977,33299838206,https://guide.michelin.com/en/bretagne/cesson-svign/restaurant/zest505150,https://www.restaurant-zest.fr/,Bib Gourmand,Good food at moderate prices,26.026,63.882000000000005
6169,La Rochette,"500 lieu-dit La Rochette, Labaroche, 68910, France",Labaroche,19.0,70.0,EUR,"Modern Cuisine, Alsatian",7.1940112,48.1007117,33389498040,https://guide.michelin.com/en/grand-est/labaroche/restaurant/la-rochette,https://www.larochette-hotel.fr/,Bib Gourmand,Good food at moderate prices,22.477,82.81
6170,Art'zain,"Au bourg, Irissarry, 64780, France",Irissarry,34.0,57.0,EUR,Market Cuisine,-1.23259,43.25776,33559372383,https://guide.michelin.com/en/nouvelle-aquitaine/irissarry/restaurant/art-zain,https://www.restaurant-art-zain.fr/,Bib Gourmand,Good food at moderate prices,40.222,67.431
6171,Auberge Le Centre Poitou,"39 rue Nationale, Coulombiers, 86600, France",Coulombiers,34.0,95.0,EUR,Traditional Cuisine,0.1848401,46.4851301,33549609015,https://guide.michelin.com/en/nouvelle-aquitaine/coulombiers/restaurant/auberge-le-centre-poitou,https://www.centre-poitou.com/,Bib Gourmand,Good food at moderate prices,40.222,112.385
6172,Agastache,"134 rue Duguesclin, Lyon, 69006, France",Lyon,25.0,42.0,EUR,Creative,4.8476636,45.7663928,33478523031,https://guide.michelin.com/en/auvergne-rhone-alpes/lyon/restaurant/agastache,https://www.agastache-restaurant-lyon.fr/,Bib Gourmand,Good food at moderate prices,29.575000000000003,49.686
6174,Restaurant du Dauphin,"3 rue d'Huisne, La Ferté-Bernard, 72400, France",La Ferté-Bernard,23.0,85.0,EUR,Modern Cuisine,0.650735,48.18641,33243930039,https://guide.michelin.com/en/pays-de-la-loire/la-fert-bernard/restaurant/restaurant-du-dauphin,https://www.restaurant-du-dauphin.com/,Bib Gourmand,Good food at moderate prices,27.209,100.555
6175,Auberge La Baquère,"Lieu-dit la Baquère, Préneron, 32190, France",Préneron,34.0,50.0,EUR,Traditional Cuisine,0.2525508,43.732968,33562064275,https://guide.michelin.com/en/occitanie/prneron/restaurant/auberge-la-baquere,https://www.aubergelabaquere.com/,Bib Gourmand,Good food at moderate prices,40.222,59.150000000000006
6176,Chez Guy,"3 place de la Mairie, Gevrey-Chambertin, 21220, France",Gevrey-Chambertin,32.0,35.0,EUR,Traditional Cuisine,4.9696471,47.2260238,33380585151,https://guide.michelin.com/en/bourgogne-franche-comte/gevrey-chambertin/restaurant/chez-guy,https://www.chez-guy.fr/,Bib Gourmand,Good food at moderate prices,37.856,41.405
6177,20 Eiffel,"20 rue de Monttessuy, Paris, 75007, France",Paris,35.0,65.0,EUR,"Traditional Cuisine, Modern Cuisine",2.2985472,48.8594686,33147051420,https://guide.michelin.com/en/ile-de-france/paris/restaurant/20-eiffel,https://www.restaurant20eiffel.fr/,Bib Gourmand,Good food at moderate prices,41.405,76.89500000000001
6178,La Clé des Champs,"Place des Frères-Caudron, Favières, 80120, France",Favières,35.0,58.0,EUR,Modern Cuisine,1.6621716,50.2377902,33322278800,https://guide.michelin.com/en/hauts-de-france/favires/restaurant/la-cle-des-champs,https://www.restaurant-lacledeschamps.com/,Bib Gourmand,Good food at moderate prices,41.405,68.614
6179,L'Envers du Décor,"23  rue de la Bienfaisance, Les Herbiers, 85500, France",Les Herbiers,35.0,60.0,EUR,Modern Cuisine,-1.0131786,46.8718586,33986193021,https://guide.michelin.com/en/pays-de-la-loire/les-herbiers/restaurant/l-envers-du-decor,http://www.envers-du-decor.fr/,Bib Gourmand,Good food at moderate prices,41.405,70.98
