,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,Explanation,Min_Price($),Max_Price($)
0,Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany",Wolfsburg,225.0,225.0,EUR,"Creative, Modern Cuisine",10.789999,52.4331722,495361606056,https://guide.michelin.com/en/niedersachsen/wolfsburg/restaurant/aqua79029,http://www.restaurant-aqua.com,3 MICHELIN Stars,Worthy of a special journey,266.175,266.175
1,The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany",Hamburg,230.0,230.0,EUR,Creative,10.0029797,53.5426229,494022867422,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,http://www.the-table-hamburg.de/,3 MICHELIN Stars,Worthy of a special journey,272.09000000000003,272.09000000000003
2,Restaurant Überfahrt Christian Jürgens,"Überfahrtstraße 10, Rottach-Egern, 83700, Germany",Rottach-Egern,259.0,319.0,EUR,Creative,11.7582292,47.6966846,4980226690,https://guide.michelin.com/en/bayern/rottach-egern/restaurant/restaurant-uberfahrt-christian-jurgens,http://www.althoffcollection.com,3 MICHELIN Stars,Worthy of a special journey,306.397,377.377
3,Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany",Perl,205.0,295.0,EUR,Creative,6.3872109,49.5351732,49686679118,https://guide.michelin.com/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,3 MICHELIN Stars,Worthy of a special journey,242.51500000000001,348.985
4,Rutz,"Chausseestraße 8, Berlin, 10115, Germany",Berlin,198.0,245.0,EUR,"Modern Cuisine, Creative",13.3860867,52.5283507,493024628760,https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz,https://www.rutz-restaurant.de/,3 MICHELIN Stars,Worthy of a special journey,234.234,289.83500000000004
5,Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany",Baiersbronn,150.0,335.0,EUR,Classic French,8.3269876,48.5205845,497442470,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,http://www.bareiss.com,3 MICHELIN Stars,Worthy of a special journey,177.45000000000002,396.305
6,temporaire - Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany",Baiersbronn,215.0,265.0,EUR,"Classic French, Creative",8.3590633,48.5361528,4974424920,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/temporaire-schwarzwaldstube,https://www.traube-tonbach.de/restaurants-bar/schwarzwaldstube/,3 MICHELIN Stars,Worthy of a special journey,254.345,313.495
7,schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany",Piesport,115.0,178.0,EUR,"Modern French, Creative",6.9266002,49.8776003,49650792520,https://guide.michelin.com/en/rheinland-pfalz/piesport/restaurant/schanz-restaurant,http://www.schanz-restaurant.de,3 MICHELIN Stars,Worthy of a special journey,136.04500000000002,210.574
8,Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany",Dreis,225.0,249.0,EUR,Classic French,6.8109342,49.9377323,49657898220,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,http://www.hotel-sonnora.de,3 MICHELIN Stars,Worthy of a special journey,266.175,294.567
9,L'Enclume,"Cavendish Street, Cartmel, LA11 6PZ, United Kingdom",Cartmel,79.0,175.0,GBP,Creative,-2.9538566,54.2017254,441539536362,https://guide.michelin.com/en/cumbria/cartmel/restaurant/l-enclume,http://www.lenclume.co.uk,3 MICHELIN Stars,Worthy of a special journey,108.625,240.625
10,Fat Duck,"High Street, Bray, SL6 2AQ, United Kingdom",Bray,275.0,375.0,GBP,Creative,-0.7017529,51.5078582,441628580333,https://guide.michelin.com/en/windsor-and-maidenhead/bray/restaurant/fat-duck,http://www.thefatduck.co.uk,3 MICHELIN Stars,Worthy of a special journey,378.125,515.625
11,Waterside Inn,"Ferry Road, Bray, SL6 2AT, United Kingdom",Bray,170.0,188.0,GBP,Classic French,-0.6994376,51.5091092,441628620691,https://guide.michelin.com/en/windsor-and-maidenhead/bray/restaurant/waterside-inn,http://www.waterside-inn.co.uk,3 MICHELIN Stars,Worthy of a special journey,233.75,258.5
12,Restaurant Gordon Ramsay,"68-69 Royal Hospital Road, London, SW3 4HP, United Kingdom",London,120.0,220.0,GBP,French,-0.1621766,51.4854381,442073524441,https://guide.michelin.com/en/greater-london/london/restaurant/restaurant-gordon-ramsay,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,3 MICHELIN Stars,Worthy of a special journey,165.0,302.5
13,Hélène Darroze at The Connaught,"Carlos Place, London, W1K 2AL, United Kingdom",London,85.0,185.0,GBP,Modern Cuisine,-0.1492905,51.510188,442031477200,https://guide.michelin.com/en/greater-london/london/restaurant/helene-darroze-at-the-connaught,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/,3 MICHELIN Stars,Worthy of a special journey,116.875,254.375
14,CORE by Clare Smyth,"92 Kensington Park Road, London, W11 2PN, United Kingdom",London,125.0,195.0,GBP,Modern British,-0.2030649,51.5126689,442039375086,https://guide.michelin.com/en/greater-london/london/restaurant/core-by-clare-smyth,https://www.corebyclaresmyth.com/,3 MICHELIN Stars,Worthy of a special journey,171.875,268.125
15,Sketch (The Lecture Room & Library),"9 Conduit Street, London, W1S 2XG, United Kingdom",London,125.0,250.0,GBP,Modern French,-0.1415369,51.5126775,442076594500,https://guide.michelin.com/en/greater-london/london/restaurant/sketch-the-lecture-room-library,https://www.sketch.london/,3 MICHELIN Stars,Worthy of a special journey,171.875,343.75
16,Alain Ducasse at The Dorchester,"Park Lane, London, W1K 1QA, United Kingdom",London,95.0,195.0,GBP,French,-0.152575,51.5073381,442076298866,https://guide.michelin.com/en/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,https://www.alainducasse-dorchester.com/,3 MICHELIN Stars,Worthy of a special journey,130.625,268.125
17,Amador,"Grinzinger Straße 86, Vienna, 1190, Austria",Vienna,265.0,265.0,EUR,"Creative, Contemporary",16.3586003,48.2540114,436609070500,https://guide.michelin.com/en/vienna/wien/restaurant/amador,http://www.restaurant-amador.com/,3 MICHELIN Stars,Worthy of a special journey,313.495,313.495
20,Jade Dragon,"Estrada do Istmo, Macau",Macau,880.0,2000.0,MOP,Cantonese,113.56715,22.149137,85388682822,https://guide.michelin.com/en/macau-region/macau/restaurant/jade-dragon,https://www.cityofdreamsmacau.com/,3 MICHELIN Stars,Worthy of a special journey,105.6,240.0
21,Robuchon au Dôme,"Avenida de Lisboa, Macau",Macau,988.0,3500.0,MOP,French Contemporary,113.54395,22.189949,85388037878,https://guide.michelin.com/en/macau-region/macau/restaurant/robuchon-au-dome,https://www.grandlisboahotels.com/,3 MICHELIN Stars,Worthy of a special journey,118.56,420.0
22,The Eight,"Avenida de Lisboa, Macau",Macau,2800.0,3000.0,MOP,Cantonese,113.54341,22.190475,85388037788,https://guide.michelin.com/en/macau-region/macau/restaurant/the-eight,https://www.grandlisboahotels.com/,3 MICHELIN Stars,Worthy of a special journey,336.0,360.0
23,8 1/2 Otto e Mezzo - Bombana,"18 Chater Road, Hong Kong",Hong Kong,700.0,2080.0,HKD,Italian,114.15867,22.2814635,85225378859,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,https://www.ottoemezzobombana.com,3 MICHELIN Stars,Worthy of a special journey,91.0,270.40000000000003
24,T'ang Court,"8 Peking Road, Hong Kong",Hong Kong,1400.0,1830.0,HKD,Cantonese,114.1698,22.296572,85221327898,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/t-ang-court,https://www.langhamhotels.com/hongkong,3 MICHELIN Stars,Worthy of a special journey,182.0,237.9
25,Sushi Shikon,"15 Queen's Road Central, Hong Kong",Hong Kong,2000.0,3500.0,HKD,Sushi,114.1577893,22.2806103,85226436800,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/sushi-shikon,https://www.sushi-shikon.com/,3 MICHELIN Stars,Worthy of a special journey,260.0,455.0
26,Caprice,"8 Finance Street, Hong Kong",Hong Kong,745.0,2600.0,HKD,French Contemporary,114.1566097,22.2866489,85231968860,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/caprice,http://www.fourseasons.com/hongkong,3 MICHELIN Stars,Worthy of a special journey,96.85000000000001,338.0
27,Forum,"255-257 Gloucester Road, Hong Kong",Hong Kong,2000.0,2000.0,HKD,Cantonese,114.1821905,22.2813972,85228698282,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/forum,http://www.forumrestaurant1977.com,3 MICHELIN Stars,Worthy of a special journey,260.0,260.0
28,Lung King Heen,"8 Finance Street, Hong Kong",Hong Kong,760.0,2980.0,HKD,Cantonese,114.1580538,22.2860122,85231968880,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/lung-king-heen,https://www.fourseasons.com/hongkong,3 MICHELIN Stars,Worthy of a special journey,98.8,387.40000000000003
29,L'Atelier de Joël Robuchon,"15 Queen's Road Central, Hong Kong",Hong Kong,680.0,2600.0,HKD,French Contemporary,114.15816,22.281199,85221669000,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon,https://www.robuchon.hk/,3 MICHELIN Stars,Worthy of a special journey,88.4,338.0
30,Azurmendi,"Legina Auzoa, Larrabetzu, 48195, Spain",Larrabetzu,250.0,250.0,EUR,Creative,-2.81454,43.26065,34944558359,https://guide.michelin.com/en/pais-vasco/larrabetzu/restaurant/azurmendi,http://www.azurmendi.biz,3 MICHELIN Stars,Worthy of a special journey,295.75,295.75
31,Martín Berasategui,"Loidi 4, Lasarte - Oria, 20160, Spain",Lasarte - Oria,220.0,290.0,EUR,Creative,-2.0152402,43.2664755,34943366471,https://guide.michelin.com/en/pais-vasco/lasarte-oria/restaurant/martin-berasategui,http://www.martinberasategui.com,3 MICHELIN Stars,Worthy of a special journey,260.26,343.07
32,Aponiente,"Francisco Cossi Ochoa, El Puerto de Santa María, 11500, Spain",El Puerto de Santa María,215.0,215.0,EUR,"Creative, Innovative",-6.2164435,36.6033273,34606225859,https://guide.michelin.com/en/andalucia/el-puerto-de-santa-maria/restaurant/aponiente,http://www.aponiente.com,3 MICHELIN Stars,Worthy of a special journey,254.345,254.345
33,El Celler de Can Roca,"Can Sunyer 48, Girona, 17007, Spain",Girona,190.0,350.0,EUR,Creative,2.807927,41.9932026,34972222157,https://guide.michelin.com/en/catalunya/girona/restaurant/el-celler-de-can-roca,https://www.cellercanroca.com/,3 MICHELIN Stars,Worthy of a special journey,224.77,414.05
34,Quique Dacosta,"Rascassa 1, Dénia, 03700, Spain",Dénia,210.0,210.0,EUR,Creative,0.0852209,38.8537884,34965784179,https://guide.michelin.com/en/comunidad-valenciana/dnia/restaurant/quique-dacosta,http://www.quiquedacosta.es,3 MICHELIN Stars,Worthy of a special journey,248.43,248.43
35,Cenador de Amós,"Plaza del Sol, Villaverde de Pontones, 39793, Spain",Villaverde de Pontones,197.0,235.0,EUR,Modern Cuisine,-3.6988243,43.4124884,34942508243,https://guide.michelin.com/en/cantabria/villaverde-de-pontones/restaurant/cenador-de-amos,http://www.cenadordeamos.com,3 MICHELIN Stars,Worthy of a special journey,233.05100000000002,278.005
36,DiverXO,"Padre Damián 23, Madrid, 28036, Spain",Madrid,365.0,365.0,EUR,Creative,-3.6856715,40.4582913,34915700766,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/diverxo,http://www.diverxo.com,3 MICHELIN Stars,Worthy of a special journey,431.795,431.795
37,Arzak,"Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain",Donostia / San Sebastián,230.0,260.0,EUR,"Creative, Traditional Cuisine",-1.9490932,43.3214016,34943278465,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/arzak,http://www.arzak.es,3 MICHELIN Stars,Worthy of a special journey,272.09000000000003,307.58000000000004
38,Akelaŕe,"Paseo del Padre Orcolaga 56, Donostia / San Sebastián, 20008, Spain",Donostia / San Sebastián,240.0,240.0,EUR,"Creative, Traditional Cuisine",-2.0731493,43.3027805,34943311209,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/akelare,http://www.akelarre.net,3 MICHELIN Stars,Worthy of a special journey,283.92,283.92
39,Lasarte,"Mallorca 259, Barcelona, 08008, Spain",Barcelona,175.0,250.0,EUR,Creative,2.1622018,41.3936278,34934453242,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,http://www.restaurantlasarte.com,3 MICHELIN Stars,Worthy of a special journey,207.025,295.75
40,ABaC,"Avenida del Tibidabo 1, Barcelona, 08022, Spain",Barcelona,250.0,250.0,EUR,Creative,2.1367664,41.4103822,34933196600,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac,http://www.abacrestaurant.com,3 MICHELIN Stars,Worthy of a special journey,295.75,295.75
41,L'OSIER,"7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Tokyo,13000.0,44000.0,JPY,French,139.761233,35.6696524,81335716050,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-osier,https://losier.shiseido.co.jp/,3 MICHELIN Stars,Worthy of a special journey,110.50000000000001,374.0
42,Sazenka,"4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan",Tokyo,34000.0,73000.0,JPY,Chinese,139.728395,35.649578,815031888819,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sazenka,https://sazenka.com/,3 MICHELIN Stars,Worthy of a special journey,289.0,620.5
43,Kagurazaka Ishikawa,"5-37 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",Tokyo,43000.0,43000.0,JPY,Japanese,139.739477,35.701185,815031385225,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kagurazaka-ishikawa,http://www.kagurazaka-ishikawa.co.jp/,3 MICHELIN Stars,Worthy of a special journey,365.5,365.5
44,Kanda,"1-1-1 Atago, Minato-ku, Tokyo, 105-0002, Japan",Tokyo,37000.0,43000.0,JPY,Japanese,139.748172,35.665976,81357860150,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kanda,http://www.nihonryori-kanda.com/,3 MICHELIN Stars,Worthy of a special journey,314.5,365.5
45,L'Effervescence,"2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Tokyo,34000.0,34000.0,JPY,French,139.719454,35.660299,81357669500,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-effervescence,http://www.leffervescence.jp/,3 MICHELIN Stars,Worthy of a special journey,289.0,289.0
46,Quintessence,"6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan",Tokyo,35000.0,35000.0,JPY,French,139.7329477,35.6240721,81362770090,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/quintessence-1193907,https://www.quintessence.jp/,3 MICHELIN Stars,Worthy of a special journey,297.5,297.5
48,Joël Robuchon,"1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan",Tokyo,23000.0,54000.0,JPY,French,139.7144835,35.6418703,81354241347,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/joel-robuchon-1193981,https://www.robuchon.jp/,3 MICHELIN Stars,Worthy of a special journey,195.5,459.00000000000006
49,RyuGin,"1-1-2 Yurakucho, Chiyoda-ku, Tokyo, 100-0006, Japan",Tokyo,49000.0,49000.0,JPY,Japanese,139.759193,35.673583,81366300007,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ryugin-1194232,https://www.nihonryori-ryugin.com/,3 MICHELIN Stars,Worthy of a special journey,416.50000000000006,416.50000000000006
50,Sushi Yoshitake,"7-8-13 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Tokyo,38000.0,38000.0,JPY,Sushi,139.761937,35.66894,81362537331,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushi-yoshitake,http://sushi-yoshitake.com/,3 MICHELIN Stars,Worthy of a special journey,323.0,323.0
51,Kohaku,"3-4 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",Tokyo,43000.0,43000.0,JPY,Japanese,139.741008,35.700701,815031385225,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kohaku,https://kagurazaka-kohaku.jp/,3 MICHELIN Stars,Worthy of a special journey,365.5,365.5
53,Gaon,"M Floor Horim Art Center, 317 Dosan-daero, Gangnam-gu, SEOUL, South Korea",SEOUL,130000.0,260000.0,KRW,Korean,127.03595,37.52265,8225459845,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/gaon,http://gaonkr.com,3 MICHELIN Stars,Worthy of a special journey,104.0,208.0
54,La Yeon,"23F Shilla Hotel, 249 Dongho-ro, Jung-gu, SEOUL, South Korea",SEOUL,109000.0,280000.0,KRW,Korean,127.00517,37.555813,82222303367,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/la-yeon,https://www.shilla.net/seoul,3 MICHELIN Stars,Worthy of a special journey,87.2,224.0
55,Dal Pescatore,"località Runate 15, Runate, 46013, Italy",Runate,150.0,300.0,EUR,"Modern Cuisine, Italian",10.3565788,45.1712728,390376723001,https://guide.michelin.com/en/lombardia/runate/restaurant/dal-pescatore,https://www.dalpescatore.com/,3 MICHELIN Stars,Worthy of a special journey,177.45000000000002,354.90000000000003
56,Le Calandre,"via Liguria 1, località Sarmeola, Rubano, 35030, Italy",Rubano,150.0,225.0,EUR,Creative,11.8096633,45.4215425,39049630303,https://guide.michelin.com/en/veneto/rubano/restaurant/le-calandre,https://www.alajmo.it/,3 MICHELIN Stars,Worthy of a special journey,177.45000000000002,266.175
57,Reale,"contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italy",Castel di Sangro,170.0,220.0,EUR,"Creative, Contemporary",14.10107,41.77379,39086469382,https://guide.michelin.com/en/abruzzo/castel-di-sangro/restaurant/reale,https://www.nikoromito.com/reale/,3 MICHELIN Stars,Worthy of a special journey,201.11,260.26
58,Osteria Francescana,"via Stella 22, Modena, 41121, Italy",Modena,320.0,320.0,EUR,Creative,10.9215518,44.6448099,39059223912,https://guide.michelin.com/en/emilia-romagna/modena/restaurant/osteria-francescana,https://www.osteriafrancescana.it/,3 MICHELIN Stars,Worthy of a special journey,378.56,378.56
59,Da Vittorio,"via Cantalupa 17, Brusaporto, 24060, Italy",Brusaporto,220.0,380.0,EUR,"Modern Cuisine, Contemporary",9.7692511,45.6756778,39035681024,https://guide.michelin.com/en/lombardia/brusaporto/restaurant/da-vittorio,https://www.davittorio.com/,3 MICHELIN Stars,Worthy of a special journey,260.26,449.54
60,St. Hubertus,"strada Micura de Rue 20, San Cassiano, 39030, Italy",San Cassiano,280.0,310.0,EUR,"Creative, Alpine",11.9305901,46.5717631,390471849500,https://guide.michelin.com/en/trentino-alto-adige/san-cassiano/restaurant/st-hubertus,https://www.st-hubertus.it/,3 MICHELIN Stars,Worthy of a special journey,331.24,366.73
61,Enrico Bartolini al Mudec,"via Tortona 56, Milan, 20123, Italy",Milan,200.0,300.0,EUR,"Creative, Innovative",9.161865,45.4516,390284293701,https://guide.michelin.com/en/lombardia/milano/restaurant/enrico-bartolini-al-mudec,https://www.enricobartolini.net/,3 MICHELIN Stars,Worthy of a special journey,236.60000000000002,354.90000000000003
62,Enoteca Pinchiorri,"via Ghibellina 87, Florence, 50122, Italy",Florence,150.0,345.0,EUR,Modern Cuisine,11.2621974,43.770066,39055242777,https://guide.michelin.com/en/toscana/firenze/restaurant/enoteca-pinchiorri,http://www.enotecapinchiorri.com/,3 MICHELIN Stars,Worthy of a special journey,177.45000000000002,408.135
63,Piazza Duomo,"vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, Italy",Alba,270.0,300.0,EUR,"Creative, Modern Cuisine",8.0359341,44.7005555,390173366167,https://guide.michelin.com/en/piemonte/alba/restaurant/piazza-duomo,https://www.piazzaduomoalba.it/,3 MICHELIN Stars,Worthy of a special journey,319.41,354.90000000000003
64,Uliassi,"banchina di Levante 6, Senigallia, 60019, Italy",Senigallia,200.0,220.0,EUR,"Creative, Seafood",13.2206503,43.7194609,3907165463,https://guide.michelin.com/en/marche/senigallia/restaurant/uliassi,https://www.uliassi.com,3 MICHELIN Stars,Worthy of a special journey,236.60000000000002,260.26
65,La Pergola,"via Cadlolo 101, Rome, 00136, Italy",Rome,250.0,290.0,EUR,"Modern Cuisine, Contemporary",12.4461151,41.9187946,390635092152,https://guide.michelin.com/en/lazio/roma/restaurant/la-pergola69016,https://romecavalieri.com/la-pergola/,3 MICHELIN Stars,Worthy of a special journey,295.75,343.07
68,Kashiwaya,"2-5-18 Senriyamanishi, Suita, Osaka, 565-0851, Japan",Osaka,13000.0,43000.0,JPY,Japanese,135.501289,34.770287,81663862234,https://guide.michelin.com/en/osaka-region/osaka/restaurant/kashiwaya-1193128,https://jp-kashiwaya.com/senriyama/,3 MICHELIN Stars,Worthy of a special journey,110.50000000000001,365.5
69,HAJIME,"1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, Japan",Osaka,40000.0,54000.0,JPY,Innovative,135.496058,34.688588,81664476688,https://guide.michelin.com/en/osaka-region/osaka/restaurant/hajime,http://www.hajime-artistes.com/,3 MICHELIN Stars,Worthy of a special journey,340.0,459.00000000000006
71,Isshisoden Nakamura,"136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, Japan",Kyoto,26000.0,38000.0,JPY,Japanese,135.765047,35.010347,81752215511,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/isshisoden-nakamura,http://www.kyoryori-nakamura.com/,3 MICHELIN Stars,Worthy of a special journey,221.00000000000003,323.0
72,Kikunoi Honten,"459 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, Japan",Kyoto,17000.0,64000.0,JPY,Japanese,135.782028,35.00149,81755610015,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kikunoi-honten,https://kikunoi.jp/,3 MICHELIN Stars,Worthy of a special journey,144.5,544.0
73,Gion Sasaki,"566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan",Kyoto,8000.0,37000.0,JPY,Japanese,135.774997,34.998895,81755515000,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/gion-sasaki,http://gionsasaki.com/,3 MICHELIN Stars,Worthy of a special journey,68.0,314.5
74,Mizai,"613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, Japan",Kyoto,50000.0,50000.0,JPY,Japanese,135.782364,35.002993,81755513310,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/mizai,https://mizai.jp/,3 MICHELIN Stars,Worthy of a special journey,425.00000000000006,425.00000000000006
75,Hyotei,"35 Nanzenji-kusagawacho, Sakyo-ku, Kyoto, 606-8437, Japan",Kyoto,26000.0,64000.0,JPY,Japanese,135.786603,35.011328,81757714116,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/hyotei,http://hyotei.co.jp/,3 MICHELIN Stars,Worthy of a special journey,221.00000000000003,544.0
77,The French Laundry,"6640 Washington St., Yountville, 94599, United States",Yountville,350.0,450.0,USD,"Contemporary, French",-122.36474,38.40443,17079442380,https://guide.michelin.com/en/california/yountville/restaurant/the-french-laundry,https://www.thomaskeller.com/tfl,3 MICHELIN Stars,Worthy of a special journey,350.0,450.0
78,SingleThread,"131 North St., Healdsburg, 95448, United States",Healdsburg,375.0,375.0,USD,"Contemporary, Californian",-122.8697229,38.6122599,17077234646,https://guide.michelin.com/en/california/healdsburg/restaurant/singlethread,https://www.singlethreadfarms.com/,3 MICHELIN Stars,Worthy of a special journey,375.0,375.0
79,Manresa,"320 Village Ln., Los Gatos, 95030, United States",Los Gatos,325.0,325.0,USD,"Contemporary, Californian",-121.98071,37.22761,14083544330,https://guide.michelin.com/en/california/los-gatos/restaurant/manresa,https://www.manresarestaurant.com/,3 MICHELIN Stars,Worthy of a special journey,325.0,325.0
80,Atelier Crenn,"3127 Fillmore St., San Francisco, 94123, United States",San Francisco,298.0,298.0,USD,"Contemporary, French",-122.43586,37.79835,14154400460,https://guide.michelin.com/en/california/san-francisco/restaurant/atelier-crenn,https://www.ateliercrenn.com/,3 MICHELIN Stars,Worthy of a special journey,298.0,298.0
81,Benu,"22 Hawthorne St., San Francisco, 94105, United States",San Francisco,350.0,350.0,USD,"Asian, Contemporary",-122.3990601,37.7853763,14156854860,https://guide.michelin.com/en/california/san-francisco/restaurant/benu,https://www.benusf.com/,3 MICHELIN Stars,Worthy of a special journey,350.0,350.0
82,Quince,"470 Pacific Ave., San Francisco, 94133, United States",San Francisco,360.0,360.0,USD,"Contemporary, Californian",-122.4032607,37.7975054,14157758500,https://guide.michelin.com/en/california/san-francisco/restaurant/quince,https://www.quincerestaurant.com/,3 MICHELIN Stars,Worthy of a special journey,360.0,360.0
83,Frantzén,"Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden",Stockholm,3800.0,3800.0,SEK,Modern Cuisine,18.0597905,59.3341785,468208580,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/frantzen,https://www.restaurantfrantzen.com/,3 MICHELIN Stars,Worthy of a special journey,380.0,380.0
84,Maaemo,"Dronning Eufemias gate 23, Oslo, 0194, Norway",Oslo,3500.0,3500.0,NOK,"Modern Cuisine, Creative",10.7586363,59.9075293,4722179969,https://guide.michelin.com/en/oslo-region/oslo/restaurant/maaemo-1194933,http://www.maaemo.no,3 MICHELIN Stars,Worthy of a special journey,385.0,385.0
85,Geranium,"Per Henrik Lings Allé, Parken National Stadium, Copenhagen, 2100 Ø, Denmark",Copenhagen,2800.0,2800.0,DKK,"Creative, Contemporary",12.5725289,55.7040847,4569960020,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/geranium,https://www.geranium.dk/,3 MICHELIN Stars,Worthy of a special journey,420.0,420.0
86,noma,"Refshalevej 96, Copenhagen, 1432 K, Denmark",Copenhagen,2800.0,2800.0,DKK,Creative,12.6106175,55.6833118,4532963297,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/noma,http://www.noma.dk/,3 MICHELIN Stars,Worthy of a special journey,420.0,420.0
87,Odette,"1 St. Andrew's Road (entrance via Supreme Court wing's foyer), 178957, Singapore",Singapore,298.0,378.0,SGD,French Contemporary,103.8516,1.2896459,6563850498,https://guide.michelin.com/en/singapore-region/singapore/restaurant/odette,https://www.odetterestaurant.com/,3 MICHELIN Stars,Worthy of a special journey,217.54,275.94
88,Les Amis,"1 Scotts Road, 228208, Singapore",Singapore,225.0,510.0,SGD,French,103.8314,1.3066648,6567332225,https://guide.michelin.com/en/singapore-region/singapore/restaurant/les-amis,https://www.lesamis.com.sg/,3 MICHELIN Stars,Worthy of a special journey,164.25,372.3
89,Zén,"41 Bukit Pasoh Road, 089855, Singapore",Singapore,450.0,450.0,SGD,European Contemporary,103.84042,1.2796271,6592366368,https://guide.michelin.com/en/singapore-region/singapore/restaurant/zen,https://www.restaurantzen.com/,3 MICHELIN Stars,Worthy of a special journey,328.5,328.5
91,Eleven Madison Park,"11 Madison Ave., New York, 10010, United States",New York,125.0,285.0,USD,"Contemporary, Innovative",-73.9872414,40.7415543,12128890905,https://guide.michelin.com/en/new-york-state/new-york/restaurant/eleven-madison-park,https://www.elevenmadisonpark.com/,3 MICHELIN Stars,Worthy of a special journey,125.0,285.0
92,Per Se,"10 Columbus Circle, New York, 10019, United States",New York,355.0,355.0,USD,"Contemporary, French",-73.9825882,40.7680545,12128239335,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,http://www.perseny.com/,3 MICHELIN Stars,Worthy of a special journey,355.0,355.0
