"","Award","Min_Price...","Max_Price..."
"198","Bib Gourmand",20,40
"199","Bib Gourmand",20,60
"200","Bib Gourmand",20,70
"201","Bib Gourmand",20,65
"202","Bib Gourmand",20,45
"203","Bib Gourmand",20,70
"204","Bib Gourmand",20,100
"205","Bib Gourmand",20,40
"206","Bib Gourmand",20,20
"207","Bib Gourmand",20,40
"208","Bib Gourmand",20,50
"209","Bib Gourmand",20,65
"210","Bib Gourmand",20,40
"211","Bib Gourmand",20,20
"212","Bib Gourmand",20,20
"213","Bib Gourmand",20,25
"214","Bib Gourmand",20,20
"215","Bib Gourmand",20,20
"216","Bib Gourmand",20,75
"217","Bib Gourmand",20,50
"218","Bib Gourmand",20,75
"219","Bib Gourmand",20,60
"220","Bib Gourmand",20,70
"221","Bib Gourmand",20,70
"222","Bib Gourmand",20,60
"223","1 MICHELIN Star",20,95
"224","Bib Gourmand",20,40
"225","Bib Gourmand",20,40
"226","Bib Gourmand",20,60
"227","Bib Gourmand",20,60
"228","Bib Gourmand",20,45
"229","Bib Gourmand",20,60
"230","Bib Gourmand",20,55
"231","Bib Gourmand",20,45
"232","Bib Gourmand",20,65
"233","Bib Gourmand",20,65
"234","Bib Gourmand",20,50
"235","Bib Gourmand",20,60
"236","Bib Gourmand",20,65
"237","Bib Gourmand",20,70
"238","Bib Gourmand",20,55
"239","Bib Gourmand",20,75
"240","Bib Gourmand",20,60
"241","Bib Gourmand",20,90
"242","Bib Gourmand",20,100
"243","Bib Gourmand",20,45
"244","Bib Gourmand",20,65
"245","Bib Gourmand",20,70
"246","Bib Gourmand",20,60
"247","Bib Gourmand",20,45
"248","Bib Gourmand",20,20
"249","Bib Gourmand",20,50
"250","Bib Gourmand",20,45
"251","Bib Gourmand",20,50
"252","1 MICHELIN Star",20,105
"253","Bib Gourmand",20,95
"254","1 MICHELIN Star",20,160
"255","Bib Gourmand",20,95
"256","Bib Gourmand",20,70
"257","Bib Gourmand",20,40
"258","Bib Gourmand",20,70
"259","Bib Gourmand",20,75
"260","Bib Gourmand",20,65
"261","Bib Gourmand",20,60
"262","Bib Gourmand",20,60
"263","Bib Gourmand",20,55
"264","Bib Gourmand",20,40
"265","Bib Gourmand",20,60
"266","Bib Gourmand",20,75
"267","Bib Gourmand",20,85
"268","Bib Gourmand",20,30
"269","Bib Gourmand",20,55
"270","Bib Gourmand",20,80
"271","Bib Gourmand",20,60
"272","Bib Gourmand",20,85
"273","Bib Gourmand",20,55
"274","Bib Gourmand",20,55
"275","Bib Gourmand",20,130
"276","Bib Gourmand",20,60
"277","Bib Gourmand",20,45
"278","Bib Gourmand",20,65
"279","Bib Gourmand",20,45
"280","Bib Gourmand",20,65
"281","1 MICHELIN Star",20,45
"282","Bib Gourmand",20,20
"283","Bib Gourmand",25,25
"284","Bib Gourmand",25,55
"285","Bib Gourmand",25,25
"286","1 MICHELIN Star",25,60
"287","1 MICHELIN Star",25,130
"288","Bib Gourmand",25,105
"289","Bib Gourmand",25,70
"290","Bib Gourmand",25,65
"291","Bib Gourmand",25,35
"292","Bib Gourmand",25,45
"293","Bib Gourmand",25,45
"294","Bib Gourmand",25,75
"295","Bib Gourmand",25,55
"296","Bib Gourmand",25,55
"297","Bib Gourmand",25,45
"298","Bib Gourmand",25,60
"299","Bib Gourmand",25,55
"300","Bib Gourmand",25,55
"301","Bib Gourmand",25,55
"302","Bib Gourmand",25,55
"303","Bib Gourmand",25,25
"304","Bib Gourmand",25,55
"305","Bib Gourmand",25,65
"306","Bib Gourmand",25,70
"307","Bib Gourmand",25,70
"308","Bib Gourmand",25,40
"309","Bib Gourmand",25,45
"310","Bib Gourmand",25,55
"311","Bib Gourmand",25,75
"312","Bib Gourmand",25,40
"313","Bib Gourmand",25,75
"314","Bib Gourmand",25,95
"315","Bib Gourmand",25,60
"316","Bib Gourmand",25,60
"317","Bib Gourmand",25,70
"318","Bib Gourmand",25,60
"319","Bib Gourmand",25,40
"320","Bib Gourmand",25,45
"321","Bib Gourmand",25,50
"322","Bib Gourmand",25,60
"323","Bib Gourmand",25,45
"324","Bib Gourmand",25,55
"325","Bib Gourmand",25,55
"326","Bib Gourmand",25,70
"327","Bib Gourmand",25,65
"328","Bib Gourmand",25,75
"329","Bib Gourmand",25,175
"330","Bib Gourmand",25,60
"331","Bib Gourmand",25,75
"332","Bib Gourmand",25,75
"333","Bib Gourmand",25,65
"334","Bib Gourmand",25,75
"335","Bib Gourmand",25,50
"336","Bib Gourmand",25,70
"337","Bib Gourmand",25,40
"338","Bib Gourmand",25,60
"339","Bib Gourmand",25,60
"340","Bib Gourmand",25,65
"341","Bib Gourmand",25,65
"342","Bib Gourmand",25,75
"343","Bib Gourmand",25,60
"344","Bib Gourmand",25,90
"345","1 MICHELIN Star",25,95
"346","Bib Gourmand",25,55
"347","Bib Gourmand",25,25
"348","Bib Gourmand",25,25
"349","Bib Gourmand",25,25
"350","Bib Gourmand",25,40
"351","Bib Gourmand",25,25
"352","Bib Gourmand",25,45
"353","Bib Gourmand",25,40
"354","Bib Gourmand",25,55
"355","1 MICHELIN Star",25,100
"356","Bib Gourmand",25,60
"357","Bib Gourmand",25,60
"358","Bib Gourmand",25,75
"359","Bib Gourmand",25,90
"360","Bib Gourmand",25,35
"361","Bib Gourmand",25,45
"362","Bib Gourmand",25,50
"363","Bib Gourmand",25,55
"364","Bib Gourmand",25,40
"365","Bib Gourmand",25,70
"366","Bib Gourmand",25,60
"367","Bib Gourmand",25,65
"368","Bib Gourmand",25,80
"369","Bib Gourmand",25,60
"370","Bib Gourmand",25,85
"371","Bib Gourmand",25,70
"372","Bib Gourmand",25,80
"373","Bib Gourmand",25,25
"374","Bib Gourmand",25,25
"375","Bib Gourmand",25,40
"376","Bib Gourmand",25,25
"377","Bib Gourmand",25,25
"378","Bib Gourmand",25,25
"379","Bib Gourmand",25,25
"380","Bib Gourmand",25,25
"381","Bib Gourmand",25,25
"382","Bib Gourmand",25,25
"383","Bib Gourmand",25,25
"384","Bib Gourmand",25,60
"385","Bib Gourmand",25,55
"386","Bib Gourmand",25,25
"387","Bib Gourmand",25,50
"388","Bib Gourmand",25,50
"389","Bib Gourmand",25,25
"390","Bib Gourmand",25,25
"391","Bib Gourmand",25,25
"392","Bib Gourmand",25,50
"393","Bib Gourmand",25,25
"394","Bib Gourmand",25,25
"395","Bib Gourmand",25,40
"396","Bib Gourmand",25,25
"397","Bib Gourmand",25,25
"398","Bib Gourmand",25,35
"399","Bib Gourmand",25,25
"400","Bib Gourmand",25,25
"401","Bib Gourmand",25,50
"402","Bib Gourmand",25,50
"403","Bib Gourmand",25,45
"404","Bib Gourmand",25,60
"405","Bib Gourmand",25,25
"406","Bib Gourmand",25,30
"407","Bib Gourmand",25,25
"408","Bib Gourmand",25,55
"409","Bib Gourmand",25,50
"410","Bib Gourmand",25,50
"411","Bib Gourmand",25,60
"412","Bib Gourmand",25,45
"413","Bib Gourmand",25,25
"414","Bib Gourmand",25,25
