"","Country","Count"
"1","Austria",6
"2","Belgium",23
"3","Brazil",4
"4","Denmark",7
"5","France",73
"6","Germany",46
"7","Greece",1
"8","Hong Kong",12
"9","Ireland",4
"10","Italy",38
"11","Japan",48
"12","Luxembourg",1
"13","Macau",5
"14","Netherlands",18
"15","Norway",1
"16","Portugal",7
"17","Singapore",5
"18","Slovenia",1
"19","South Korea",5
"20","Spain",33
"21","Sweden",4
"22","Switzerland",23
"23","Thailand",6
"24","United Kingdom",18
"25","United States",36
